#1=α 2=αD 3=σ 4=f 5=dq 6=qh 7=dp 8=dph 9=pd 10=dphd 11=m 
0.126 1.0 sign -99.0 0.5869859734781855 14.664338257613707 0.6764402845101274 1.7879375551941634 1.7570156766231337 7.4413367011251825 1.6261379910300079e-9
0.125 0.9 sign -99.0 0.5792366016903026 15.179245140040255 0.6754592648641065 1.770810049610746 1.8386254346485855 7.555418262213957 2.861837465259222e-10
0.123 0.8 sign -99.0 0.5710183354884382 15.873874639544418 0.6750229741217231 1.7548936472489047 1.9388940248514515 7.72894159352339 4.401440140601097e-11
0.122 0.7 sign -99.0 0.5595107425978094 16.668386193060964 0.6729408921820794 1.7286303443811137 2.069224841441192 7.888853315876755 5.274411664750644e-12
0.12 0.6 sign -99.0 0.546285822431983 17.776623135315823 0.6709401473837738 1.7005590661014374 2.2404177640607417 8.129797481393542 1.2267633287312672e-13
0.117 0.5 sign -99.0 0.5302262423183689 19.354465604628487 0.6685919533236434 1.667918425678472 2.4768094496604456 8.478245014537176 4.1525830491154737e-16
0.113 0.4 sign -99.0 0.5094166199251704 21.709368552484246 0.6650304321982672 1.6260266055513302 2.826589898179568 8.982608048375786 2.2204460525151263e-16
0.108 0.3 sign -99.0 0.4801380454775265 25.569001329920937 0.6584305890710506 1.5666387567591533 3.40269518711762 9.752431390646722 2.290725219025445e-37
0.1 0.2 sign -99.0 0.4371251979739385 33.31796706916484 0.6465891142193776 1.482154569164668 4.530449002293588 11.206245349604234 4.595646768116883e-74
