#1=α 2=αD 3=σ 4=f 5=dq 6=qh 7=dp 8=dph 9=pd 10=dpdh 11=m 12=mh 
0.3 0.01 sign -99.0 6.147701795052236e-5 76.94532713706897 6.143582962909822e-5 0.6366587892343712 100.98832509728238 41.16290094145189 0.9999297083731059 19.09857643352235
0.299 0.01 sign -99.0 6.299329011627399e-5 76.90735010149099 6.295250320912385e-5 0.6366597520491872 100.98803848227693 41.16284745567218 0.9999280203482258 19.03491163647446
0.298 0.01 sign -99.0 6.454910173310261e-5 76.86942811373923 6.450879367505923e-5 0.6366607399953843 100.98774442935797 41.16279259189665 0.9999262893711153 18.971246794495663
0.297 0.01 sign -99.0 6.614554390986201e-5 76.83156242950571 6.61057982822997e-5 0.6366617537697966 100.98744273406014 41.162736312295856 0.9999245142820039 18.907581907052176
0.296 0.01 sign -99.0 6.778373959522546e-5 76.79375433424957 6.774464572974647e-5 0.6366627940876853 100.98713318614458 41.162678578227 0.9999226938878958 18.84391697347545
0.295 0.01 sign -99.0 6.946484465880686e-5 76.75600514464715 6.942649797214332e-5 0.6366638616853401 100.98681556923424 41.162619349930395 0.9999208269614406 18.780251993087273
0.294 0.01 sign -99.0 7.119004891850372e-5 76.71831620940478 7.115255126918422e-5 0.6366649573207519 100.98648966062184 41.16255858649323 0.9999189122398745 18.716586965201465
0.293 0.01 sign -99.0 7.296057720217487e-5 76.6806889100973 7.292403726728772e-5 0.6366660817742942 100.98615523107262 41.16249624581394 0.9999169484239275 18.652921889123775
0.292 0.01 sign -99.0 7.477769044484368e-5 76.64312466203096 7.474222411802973e-5 0.6366672358494295 100.98581204461999 41.162432284565476 0.9999149341766912 18.58925676415189
0.291 0.01 sign -99.0 7.664268682268332e-5 76.60562491513048 7.660841763455164e-5 0.6366684203734384 100.98545985835491 41.16236665815717 0.9999128681224533 18.525591589575384
0.29 0.01 sign -99.0 7.855690292512129e-5 76.56819115485223 7.852396248735381e-5 0.6366696361981736 100.98509842220761 41.16229932069543 0.9999107488454879 18.461926364675744
0.289 0.01 sign -99.0 8.052171496644081e-5 76.5308249031234 8.049024344092188e-5 0.6366708842008394 100.98472747872219 41.16223022494313 0.9999085748888098 18.398261088726283
0.288 0.01 sign -99.0 8.25385400383037e-5 76.49352771930877 8.250868663269004e-5 0.6366721652847994 100.98434676282395 41.16215932227768 0.9999063447528844 18.33459576099221
0.287 0.01 sign -99.0 8.460883740469202e-5 76.45630120120522 8.45807608959152e-5 0.6366734803804092 100.98395600157815 41.162086562647474 0.9999040568942947 18.27093038073051
0.286 0.01 sign -99.0 8.673410984079863e-5 76.41914698606566 8.670797912808694e-5 0.6366748304458799 100.98355491394102 41.1620118945272 0.9999017097243622 18.207264947190055
0.285 0.01 sign -99.0 8.891590501749736e-5 76.3820667516525 8.889189970658354e-5 0.63667621646817 100.9831432105023 41.16193526487131 0.9998993016077237 18.143599459611494
0.284 0.01 sign -99.0 9.115581693303521e-5 76.34506221732272 9.113412795332449e-5 0.6366776394639077 100.98272059321887 41.161856619066256 0.9998968308608562 18.07993391722731
0.283 0.01 sign -99.0 9.345548739370887e-5 76.30813514514408 9.34363176502775e-5 0.6366791004803477 100.98228675513916 41.161775900880784 0.9998942957505554 18.01626831926179
0.282 0.01 sign -99.0 9.581660754530786e-5 76.27128734104521 9.580017260771259e-5 0.6366806005963572 100.98184138011824 41.16169305241469 0.9998916944923563 17.952602664931014
0.281 0.01 sign -99.0 9.824091945721918e-5 76.23452065599913 9.822744828721514e-5 0.6366821409234389 100.98138414252305 41.16160801404588 0.9998890252489067 17.888936953442908
0.28 0.01 sign -99.0 0.00010073021776113801 76.19783698724262 0.00010071995348152165 0.6366837226067902 100.98091470692765 41.16152072437551 0.9998862861282793 17.82527118399723
0.279 0.01 sign -99.0 0.00010328635134641965 76.16123827953177 0.00010327955205334406 0.6366853468263963 100.9804327277974 41.161431120171294 0.9998834751822283 17.76160535578555
0.278 0.01 sign -99.0 0.00010591122511417293 76.12472652643491 0.00010590816473542108 0.6366870147981648 100.97993784916285 41.16133913630886 0.9998805904043839 17.6979394679913
0.277 0.01 sign -99.0 0.00010860680179231395 76.08830377166517 0.00010860777099415921 0.6366887277750986 100.9794297042815 41.16124470571106 0.9998776297283851 17.6342735197898
