#1=α 2=αD 3=σ 4=f 5=dq 6=qh 7=dp 8=dph 9=pd 10=dphd 11=m 
0.138 30.0 sign -99.0 0.6776397421549618 10.046297306867112 0.6818724700290557 1.991515592692305 1.0260778592934068 6.3334172882654265 3.034147777940966e-7
0.138 29.99 sign -99.0 0.6776381657682552 10.046344665562001 0.681872309875263 1.9915115053096646 1.0260865534608634 6.333425774591115 3.0130369703847705e-7
0.138 29.98 sign -99.0 0.6776365873996606 10.046392027933516 0.6818721485793586 1.9915074095643712 1.026095253317436 6.333434230268618 2.992066231919379e-7
0.138 29.97 sign -99.0 0.6776350070815582 10.046439393027836 0.6818719861563949 1.9915033054925964 1.0261039588678345 6.333442655542921 2.971234682772757e-7
0.138 29.96 sign -99.0 0.6776334248468054 10.04648675992025 0.6818718226221119 1.9914991931346213 1.0261126701168681 6.333451050685408 2.950541437902118e-7
0.138 29.95 sign -99.0 0.677631840728705 10.04653412771571 0.6818716579929189 1.9914950725347613 1.0261213870694452 6.333459415993372 2.929985623097289e-7
0.138 29.94 sign -99.0 0.6776302547609778 10.04658149554935 0.6818714922858785 1.9914909437413124 1.0261301097305746 6.333467751789703 2.9095663721091214e-7
0.138 29.93 sign -99.0 0.6776286669777305 10.046628862586935 0.6818713255186871 1.991486806806475 1.0261388381053629 6.333476058422384 2.889282819646763e-7
0.138 29.92 sign -99.0 0.6776270732345608 10.046676372874648 0.6818711560466415 1.9914826587108645 1.0261475723756504 6.333484317752596 2.866976931238073e-7
0.138 29.91 sign -99.0 0.677623453539008 10.046616446524256 0.6818682469301487 1.9914624117015784 1.0261559580253077 6.33338933970127 5.425621112783325e-7
0.138 29.9 sign -99.0 0.6776219752548271 10.046661664196975 0.6818681427180199 1.9914584860535316 1.0261647031481296 6.333399042879902 5.38777593584382e-7
0.138 29.89 sign -99.0 0.6776204958144129 10.046706983041798 0.6818680390689652 1.991454563008565 1.0261734542888135 6.333408786122776 5.350182479295964e-7
0.138 29.88 sign -99.0 0.6776190151582937 10.046752403143135 0.6818679359381478 1.9914506423586504 1.0261822114509789 6.333418568129881 5.312839146265221e-7
0.138 29.87 sign -99.0 0.6776175332275804 10.046797924529674 0.6818678332805748 1.9914467238932643 1.026190974638138 6.333428387584911 5.275744351485133e-7
0.138 29.86 sign -99.0 0.6776160499640063 10.046843547174847 0.6818677310511343 1.991442807399567 1.0261997438536965 6.333438243156437 5.238896519692652e-7
0.138 29.85 sign -99.0 0.6776145653099687 10.046889270997177 0.6818676292046311 1.9914388926625857 1.0262085191009578 6.333448133499046 5.202294085451481e-7
0.138 29.84 sign -99.0 0.6776130792085668 10.046935095860794 0.6818675276958213 1.9914349794653883 1.0262173003831254 6.333458057254468 5.16593549298155e-7
0.138 29.83 sign -99.0 0.6776115916036439 10.046981021575935 0.6818674264794509 1.9914310675892781 1.0262260877033056 6.3334680130528165 5.129819192360253e-7
0.138 29.82 sign -99.0 0.6776101024398216 10.047027047899466 0.6818673255102882 1.9914271568139612 1.0262348810645092 6.33347799951364 5.093943648159438e-7
0.138 29.81 sign -99.0 0.6776086116625418 10.047073174535473 0.6818672247431624 1.991423246917741 1.0262436804696569 6.333488015247196 5.058307331023295e-7
0.138 29.8 sign -99.0 0.6776071192180999 10.047119401135927 0.6818671241329967 1.9914193376776983 1.02625248592158 6.333498058855559 5.022908720030029e-7
0.138 29.79 sign -99.0 0.6776056250536813 10.04716572730124 0.6818670236348424 1.9914154288698624 1.0262612974230247 6.333508128933758 4.987746305348177e-7
0.138 29.78 sign -99.0 0.6776041291173972 10.04721215258106 0.6818669232039162 1.9914115202694083 1.0262701149766547 6.333518224071004 4.952818588258258e-7
0.138 29.77 sign -99.0 0.6776026313583168 10.047258676474947 0.6818668227956313 1.9914076116508264 1.0262789385850548 6.3335283428517855 4.918124074737325e-7
0.138 29.76 sign -99.0 0.6776011317265016 10.047305298433102 0.681866722365633 1.9914037027881077 1.026287768250733 6.3335384838570565 4.883661281531249e-7
0.138 29.75 sign -99.0 0.6776009941483736 10.047441666494839 0.6818686551647852 1.9914120537729987 1.0262968869999525 6.333627350275564 3.154742591784422e-7
0.138 29.74 sign -99.0 0.6775993980924087 10.047489961058243 0.6818684989145674 1.9914079334062884 1.0263057285084183 6.333636204003433 3.132614228502904e-7
0.138 29.73 sign -99.0 0.6775977998124305 10.047538266097437 0.6818683414172275 1.9914038043281759 1.0263145758584047 6.333645025478212 3.1106338503611455e-7
0.138 29.72 sign -99.0 0.6775961993382998 10.04758658045867 0.6818681826837001 1.9913996665493168 1.0263234290542056 6.333653814781719 3.088800518506583e-7
0.138 29.71 sign -99.0 0.677594596700555 10.047634903014568 0.6818680227257337 1.991395520084969 1.0263322881002157 6.333662572025277 3.0671132894753433e-7
0.138 29.7 sign -99.0 0.677592991930384 10.047683232664912 0.6818678615558762 1.9913913649549497 1.0263411530009328 6.333671297349465 3.045571239014073e-7
0.138 29.69 sign -99.0 0.6775913850595925 10.047731568337294 0.681867699187459 1.991387201183581 1.0263500237609564 6.3336799909237556 3.024173436605802e-7
0.138 29.68 sign -99.0 0.6775897761205749 10.047779908987843 0.6818675356345808 1.9913830287996417 1.0263589003849898 6.333688652946229 3.002918966183622e-7
0.138 29.67 sign -99.0 0.6775881651462836 10.047828253601871 0.6818673709120919 1.9913788478363128 1.0263677828778404 6.333697283643227 2.9818069110435034e-7
0.138 29.66 sign -99.0 0.6775865521701983 10.047876601194472 0.6818672050355763 1.9913746583311127 1.0263766712444191 6.333705883268946 2.9608363647238895e-7
0.138 29.65 sign -99.0 0.6775849372262941 10.047924950811172 0.6818670380213347 1.9913704603258409 1.0263855654897418 6.333714452105087 2.9400064243240054e-7
0.138 29.64 sign -99.0 0.6775833163930687 10.047973457435283 0.6818668685161087 1.991366252496355 1.0263944658345716 6.333722982893838 2.9171204359521657e-7
0.138 29.63 sign -99.0 0.6775816975264516 10.048021804981161 0.6818666991708621 1.9913620370294938 1.0264033718404688 6.333731487236514 2.896582472331256e-7
0.138 29.62 sign -99.0 0.6775800768004625 10.048070151777605 0.6818665287428312 1.9913578132187382 1.026412283740702 6.333739961831414 2.8761823596179075e-7
0.138 29.61 sign -99.0 0.6775784542507923 10.048118497000585 0.6818663572510708 1.9913535811227647 1.0264212015407164 6.333748407068744 2.855919214741067e-7
0.138 29.6 sign -99.0 0.6775748084778332 10.048058829059737 0.6818634416795325 1.9913332146756857 1.0264297658737511 6.33365336591389 5.404895629547954e-7
0.138 29.59 sign -99.0 0.6775732988520793 10.048105013815512 0.6818633349566727 1.9913292067567836 1.0264386951060143 6.333663268393232 5.366811657296961e-7
0.138 29.58 sign -99.0 0.677571788026853 10.048151302408966 0.6818632288034372 1.9913252014535938 1.026447630547327 6.33367321176109 5.328983504485988e-7
0.138 29.57 sign -99.0 0.6775702759407543 10.048197694920358 0.6818631231734549 1.9913211985507528 1.0264565722014427 6.333683194671561 5.291409533558641e-7
0.138 29.56 sign -99.0 0.677568762561365 10.04824419114845 0.6818630180397631 1.991317197913681 1.0264655200726926 6.333693216290927 5.254074401237414e-7
0.138 29.55 sign -99.0 0.6775672477717047 10.048290791531322 0.6818629133167885 1.9913131991571222 1.0264744741632859 6.3337032741944554 5.217004000974668e-7
0.138 29.54 sign -99.0 0.677565731540795 10.048337495726061 0.681862808977141 1.9913092021400078 1.0264834344772713 6.3337133675060855 5.180182934748741e-7
0.138 29.53 sign -99.0 0.6775642138099418 10.048384303583228 0.6818627049740459 1.9913052066377874 1.0264924010179648 6.333723494819767 5.143609602000368e-7
0.138 29.52 sign -99.0 0.677562694521233 10.0484312148972 0.6818626012607226 1.9913012124240947 1.0265013737885802 6.333733654717484 5.107282415102536e-7
0.138 29.51 sign -99.0 0.677561173617577 10.048478229406733 0.6818624977904211 1.991297219270932 1.026510352792232 6.33374384577043 5.071199798620127e-7
0.138 29.5 sign -99.0 0.6775596510427438 10.048525346795621 0.6818623945164606 1.9912932269488732 1.0265193380319393 6.333754066540299 5.035360183467312e-7
0.138 29.49 sign -99.0 0.6775581267414027 10.048572566693338 0.6818622913922656 1.9912892352272455 1.0265283295106276 6.333764315580456 4.999762009806047e-7
0.138 29.48 sign -99.0 0.6775566006591588 10.048619888675717 0.6818621883714024 1.9912852438743276 1.0265373272311338 6.3337745914371935 4.964403730971183e-7
0.138 29.47 sign -99.0 0.6775550727425907 10.048667312265716 0.6818620854076161 1.9912812526575379 1.0265463311962078 6.333784892650941 4.929283806930978e-7
0.138 29.46 sign -99.0 0.6775535429392856 10.048714836934197 0.6818619824548661 1.9912772613436283 1.0265553414085173 6.333795217757503 4.894400706616745e-7
0.138 29.45 sign -99.0 0.6775520111979605 10.048762462100935 0.6818618794674317 1.9912732696992037 1.0265643578706554 6.333805565291367 4.859752868620388e-7
0.138 29.44 sign -99.0 0.6775518202537041 10.048900640320127 0.6818638022208334 1.9912815260650087 1.0265736676658264 6.333894585508675 3.1388414755648123e-7
0.138 29.43 sign -99.0 0.6775501906103123 10.048949938918948 0.6818636422870246 1.9912773175422136 1.0265826962830664 6.333903612994813 3.1165988588341193e-7
0.138 29.42 sign -99.0 0.6775485586908361 10.048999248145343 0.6818634810784748 1.9912731000830783 1.0265917309274983 6.333912607521281 3.0945064778334525e-7
0.138 29.41 sign -99.0 0.6775469245263384 10.049048566814097 0.6818633186067262 1.9912688736999444 1.0266007716036234 6.3339215691812605 3.072563369929207e-7
0.138 29.4 sign -99.0 0.6775452881485817 10.049097893767787 0.6818631548841676 1.9912646384099488 1.026609818316051 6.333930498098701 3.050768569502176e-7
0.138 29.39 sign -99.0 0.6775436495899962 10.04914722787752 0.6818629899240163 1.9912603942349678 1.026618871069497 6.333939394427944 3.0291211235173624e-7
0.138 29.38 sign -99.0 0.677542008883649 10.049196568043683 0.6818628237403036 1.9912561412015675 1.0266279298687877 6.333948258353445 3.007620086535973e-7
0.138 29.37 sign -99.0 0.6775403624436723 10.049246081840533 0.6818626553767022 1.9912518802206542 1.026636994983445 6.333957096950917 2.984017844712213e-7
0.138 29.36 sign -99.0 0.6775387174370471 10.049295427897626 0.681862486675519 1.9912476089370277 1.0266460658770211 6.333965892697787 2.9628206521598364e-7
0.138 29.35 sign -99.0 0.6775370703891197 10.049344776781895 0.6818623167992592 1.991243328906441 1.0266551428314477 6.333974656797089 2.941766975433943e-7
0.138 29.34 sign -99.0 0.6775354213352389 10.049394127520923 0.6818621457651126 1.991239040174103 1.026664225852 6.333983389553003 2.920855886887634e-7
0.138 29.33 sign -99.0 0.677533770311225 10.049443479174936 0.6818619735909904 1.9912347427895916 1.026673314944064 6.333992091297813 2.900086471524547e-7
